full_name,selling_price,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,age
BMW 7 Series 730Ld,25.9,Dealer,65000,First Owner,Diesel,Automatic,16.46,2993.0,258.0,5.0,8
Mercedes-Benz M-Class ML 250 CDI,25.9,Dealer,79000,First Owner,Diesel,Automatic,15.26,2143.0,203.2,5.0,7
Mercedes-Benz CLA 200 CGI,25.85,Dealer,26160,First Owner,Petrol,Automatic,15.04,1991.0,183.0,5.0,6
BMW 5 Series 520d M Sport,25.75,Dealer,67000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,7
BMW X1 sDrive20d xLine,25.75,Dealer,24000,First Owner,Diesel,Automatic,19.62,1998.0,192.0,5.0,6
Mini 5 DOOR Cooper D,25.75,Dealer,24500,First Owner,Diesel,Automatic,20.7,1496.0,113.98,5.0,7
Porsche Cayenne Diesel,25.75,Dealer,82000,First Owner,Diesel,Automatic,15.15,2967.0,240.0,5.0,10
Audi A3 35 TDI Premium Plus,25.75,Dealer,5500,First Owner,Diesel,Automatic,20.38,1968.0,143.0,5.0,5
Audi Q3 2.0 TFSI Quattro Premium Plus,25.75,Dealer,18000,First Owner,Petrol,Automatic,11.72,1984.0,207.0,5.0,5
Mercedes-Benz S-Class S 300 L,25.75,Dealer,35000,First Owner,Petrol,Automatic,13.0,2987.0,210.0,5.0,8
Ford Endeavour 3.2 Trend AT 4X4,25.5,Dealer,32000,First Owner,Diesel,Automatic,10.91,3198.0,197.2,7.0,5
Jaguar XF 2.2 Litre Luxury,25.5,Dealer,26000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,8
Toyota Fortuner 2016-2021 2.8 2WD MT,25.5,Dealer,70000,First Owner,Diesel,Manual,14.24,2755.0,174.5,7.0,5
Mercedes-Benz CLA 200 CDI Sport,25.5,Dealer,31000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,4
Volvo S60 D4 KINETIC,25.5,Dealer,10000,First Owner,Diesel,Automatic,9.0,1984.0,181.0,5.0,4
Audi Q3 2015-2017 30 TDI,25.5,Dealer,36000,First Owner,Diesel,Manual,17.32,1968.0,138.13,5.0,4
BMW 3 Series GT M Sport Petrol,25.5,Dealer,57000,First Owner,Petrol,Automatic,15.34,1998.0,248.0,5.0,5
BMW 7 Series 730Ld,25.5,Dealer,39800,First Owner,Diesel,Automatic,14.49,2993.0,258.0,5.0,9
Mercedes-Benz CLA 200 CDI Sport,25.5,Dealer,30000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,4
Land Rover Range Rover Evoque 2.2L Dynamic,25.5,Dealer,87500,First Owner,Diesel,Automatic,12.7,2179.0,187.7,5.0,10
BMW 5 Series 520d Luxury Line,25.5,Dealer,68000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,7
BMW 3 Series 320d GT Luxury Line,25.5,Dealer,55000,First Owner,Diesel,Automatic,19.59,1995.0,187.74,5.0,7
Mercedes-Benz E-Class E350 CDI Avantgrade,25.5,Dealer,140000,First Owner,Diesel,Automatic,13.0,2987.0,265.0,5.0,10
Toyota Fortuner 2016-2021 2.8 2WD MT,25.5,Dealer,29000,First Owner,Diesel,Manual,14.24,2755.0,174.5,7.0,5
Mercedes-Benz CLA 200 CDI Sport,25.5,Individual,47000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,5
Audi A6 35 TDI,25.5,Dealer,68000,First Owner,Diesel,Automatic,18.53,1968.0,187.74,5.0,7
Mercedes-Benz M-Class ML 250 CDI,25.5,Dealer,46000,First Owner,Diesel,Automatic,15.26,2143.0,203.2,5.0,9
BMW 3 Series GT Luxury Line,25.5,Dealer,33000,First Owner,Diesel,Automatic,21.76,1995.0,188.0,5.0,6
Jaguar XF 2.2 Litre Luxury,25.45,Dealer,34600,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
BMW 3 Series GT Sport,25.25,Dealer,41000,First Owner,Diesel,Automatic,21.76,1995.0,188.0,5.0,6
Mercedes-Benz CLA Urban Sport 200d,25.25,Dealer,38000,First Owner,Diesel,Automatic,17.9,2143.0,134.1,5.0,5
Mercedes-Benz C-Class C 200 Avantgarde Edition C,25.25,Dealer,44000,First Owner,Petrol,Automatic,14.74,1991.0,181.03,5.0,6
Land Rover Discovery 4 TDV6 Auto Diesel,25.0,Individual,175000,First Owner,Diesel,Automatic,11.8,2993.0,241.6,7.0,10
Mercedes-Benz C-Class C 220 CDI Avantgarde,25.0,Dealer,19000,First Owner,Diesel,Automatic,19.27,2143.0,170.0,5.0,6
Volkswagen Tiguan 2.0 TDI Comfortline,25.0,Dealer,58077,First Owner,Diesel,Automatic,16.65,1968.0,141.0,5.0,4
Mercedes-Benz GLA Class 200,25.0,Individual,25000,First Owner,Petrol,Automatic,13.7,1991.0,183.0,5.0,6
BMW 3 Series GT 320d Sport Line,25.0,Dealer,96500,First Owner,Diesel,Automatic,19.59,1995.0,184.0,5.0,6
Audi A3 35 TDI Premium Plus,25.0,Dealer,12100,First Owner,Diesel,Automatic,20.38,1968.0,143.0,5.0,3
Jaguar XF 3.0 Litre S Premium Luxury,25.0,Dealer,79000,First Owner,Diesel,Automatic,14.74,2993.0,270.9,5.0,9
Audi Q3 2.0 TDI Quattro Premium Plus,25.0,Dealer,100000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,5
BMW 5 Series 520d,25.0,Dealer,113000,First Owner,Diesel,Automatic,18.48,1995.0,177.0,5.0,7
BMW 5 Series 525d Luxury Line,25.0,Dealer,33000,First Owner,Diesel,Automatic,17.09,1995.0,218.0,5.0,9
Ford Endeavour 3.2 Titanium AT 4X4,25.0,Individual,33000,First Owner,Diesel,Automatic,10.91,3198.0,197.0,7.0,5
Mercedes-Benz GLA Class 200 CDI SPORT,25.0,Individual,82000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,6
Mercedes-Benz GLA Class 200 CDI SPORT,25.0,Dealer,6000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,6
Mahindra Alturas G4 4X4 AT,25.0,Dealer,13033,First Owner,Diesel,Automatic,12.05,2157.0,178.49,7.0,3
BMW X1 sDrive 20d M Sport,25.0,Individual,32000,First Owner,Diesel,Automatic,17.05,1995.0,184.0,5.0,6
BMW 3 Series 320d Luxury Line,25.0,Dealer,26000,First Owner,Diesel,Automatic,19.62,1995.0,187.74,5.0,5
BMW X1 xDrive 20d xLine,25.0,Dealer,25000,First Owner,Diesel,Automatic,20.68,1995.0,190.0,5.0,4
BMW X1 sDrive20d Expedition,25.0,Individual,22000,First Owner,Diesel,Automatic,20.68,1995.0,188.0,5.0,5
Audi Q5 2.0 TDI,25.0,Dealer,25000,First Owner,Diesel,Automatic,12.8,1968.0,167.6,5.0,9
Audi Q3 30 TFSI Premium FWD,25.0,Dealer,9800,First Owner,Petrol,Automatic,16.9,1395.0,147.51,5.0,4
Mercedes-Benz E-Class E350 CDI,25.0,Dealer,65000,First Owner,Diesel,Automatic,13.0,2987.0,261.5,5.0,7
Jaguar XF 2.2 Litre Luxury,25.0,Individual,90000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Audi A8 L 3.0 TDI quattro,25.0,Individual,45000,First Owner,Diesel,Automatic,11.8,2967.0,246.7,5.0,10
Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,25.0,Individual,66000,First Owner,Diesel,Manual,14.24,2755.0,174.5,7.0,5
Mercedes-Benz C-Class 220 CDI AT,25.0,Dealer,28000,First Owner,Diesel,Automatic,14.84,2143.0,170.0,5.0,6
Mercedes-Benz C-Class C 220 CDI Avantgarde,25.0,Individual,25000,First Owner,Diesel,Automatic,19.27,2143.0,170.0,5.0,6
Mercedes-Benz CLA 200 CDI Sport,25.0,Dealer,16000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,5
BMW X1 sDrive 20d xLine,24.99,Dealer,40100,First Owner,Diesel,Automatic,20.68,1995.0,188.0,5.0,5
BMW X1 sDrive20d xLine,24.99,Dealer,40000,First Owner,Diesel,Automatic,19.62,1998.0,192.0,5.0,5
Audi Q3 2015-2017 30 TDI,24.99,Dealer,42000,First Owner,Diesel,Manual,17.32,1968.0,138.13,5.0,4
Audi Q3 2015-2017 30 TDI,24.99,Dealer,46000,First Owner,Diesel,Manual,17.32,1968.0,138.13,5.0,4
Audi Q3 35 TDI Quattro Premium Plus,24.99,Dealer,46500,First Owner,Diesel,Automatic,15.17,1968.0,181.0,5.0,4
BMW 5 Series 520d Luxury Line,24.99,Dealer,25000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,7
Audi Q3 2015-2017 30 TDI,24.99,Dealer,48000,First Owner,Diesel,Manual,17.32,1968.0,138.13,5.0,5
Skoda Superb LK 2.0 TDI AT,24.99,Dealer,37000,First Owner,Diesel,Automatic,18.19,1968.0,174.5,5.0,4
Mercedes-Benz CLA 200 CDI Sport,24.99,Dealer,16000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,5
Mercedes-Benz E-Class E350 CDI Avantgrade,24.9,Dealer,69000,First Owner,Diesel,Automatic,13.0,2987.0,265.0,5.0,8
Mercedes-Benz E-Class E350 CDI,24.9,Dealer,65000,First Owner,Diesel,Automatic,13.0,2987.0,261.5,5.0,7
BMW 3 Series GT Luxury Line,24.8,Dealer,87000,First Owner,Diesel,Automatic,21.76,1995.0,188.0,5.0,7
Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,24.8,Dealer,60000,First Owner,Diesel,Manual,14.24,2755.0,174.5,7.0,2
Mercedes-Benz E-Class E250 CDI Avantgarde,24.75,Dealer,45000,First Owner,Diesel,Automatic,13.0,2143.0,204.0,5.0,6
Volvo V40 D3 R-Design,24.75,Dealer,25100,First Owner,Diesel,Automatic,16.8,1984.0,150.0,5.0,4
Audi Q3 35 TDI Quattro Technology,24.5,Dealer,10999,First Owner,Diesel,Automatic,15.17,1968.0,181.0,5.0,5
Mercedes-Benz CLA 200 CDI Sport,24.5,Dealer,21000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,5
Audi Q3 30 TDI Premium FWD,24.5,Dealer,48800,First Owner,Diesel,Automatic,18.51,1968.0,147.51,5.0,5
Audi Q3 30 TDI Premium FWD,24.5,Dealer,36000,First Owner,Diesel,Automatic,18.51,1968.0,147.51,5.0,4
Audi Q3 35 TDI Quattro Premium Plus,24.5,Dealer,63000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,5
Mercedes-Benz S-Class S 350 CDI,24.5,Dealer,82000,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,11
Volvo XC 90 D5 AT AWD,24.5,Dealer,122000,First Owner,Diesel,Automatic,11.1,2400.0,200.0,7.0,9
Mercedes-Benz E-Class E250 CDI Avantgrade,24.5,Dealer,68000,First Owner,Diesel,Automatic,13.0,2143.0,201.1,5.0,8
Toyota Fortuner 2016-2021 2.8 4WD MT BSIV,24.5,Individual,43200,First Owner,Diesel,Manual,14.24,2755.0,174.5,7.0,5
Mercedes-Benz CLA 200 CDI Sport,24.5,Dealer,30000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,5
Mercedes-Benz M-Class ML 250 CDI,24.5,Dealer,64000,First Owner,Diesel,Automatic,15.26,2143.0,203.2,5.0,8
BMW 3 Series GT Luxury Line,24.5,Dealer,29000,First Owner,Diesel,Automatic,21.76,1995.0,188.0,5.0,6
Toyota Fortuner 2016-2021 2.8 2WD AT,24.5,Dealer,69000,First Owner,Diesel,Automatic,12.9,2755.0,174.5,7.0,5
Mercedes-Benz E-Class E250 CDI Avantgrade,24.5,Dealer,33000,First Owner,Diesel,Automatic,13.0,2143.0,201.1,5.0,7
Audi Q3 30 TDI Premium FWD,24.5,Dealer,48000,First Owner,Diesel,Automatic,18.51,1968.0,147.51,5.0,5
Mercedes-Benz S-Class S 350 CDI,24.5,Dealer,58000,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,10
Volkswagen Passat 2.0 TDI AT Highline,24.45,Dealer,32500,First Owner,Diesel,Automatic,17.42,1968.0,175.0,5.0,4
Audi Q3 30 TDI S Edition,24.45,Individual,20000,First Owner,Diesel,Manual,17.32,1968.0,138.13,5.0,5
Volkswagen Tiguan 2.0 TDI Highline,24.25,Dealer,37000,First Owner,Diesel,Automatic,16.65,1968.0,141.0,5.0,4
Audi Q5 2.0 TDI Premium Plus,24.15,Dealer,35000,First Owner,Diesel,Automatic,14.16,1968.0,174.3,5.0,8
Audi A3 35 TDI Technology Navigation,24.01,Dealer,45000,First Owner,Diesel,Automatic,20.38,1968.0,143.0,5.0,3
Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,24.0,Individual,120000,First Owner,Diesel,Automatic,12.07,2967.0,241.4,7.0,8
Volvo XC 90 D5 AWD,24.0,Dealer,54694,First Owner,Diesel,Manual,11.1,2400.0,200.0,7.0,7
Toyota Camry 2.5 Hybrid,24.0,Dealer,34000,First Owner,Petrol,Automatic,19.16,2494.0,157.7,5.0,5
Jaguar XF 2.2 Litre Executive,24.0,Dealer,28000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Jaguar XF 2.2 Litre Luxury,24.0,Dealer,28000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,24.0,Individual,60000,First Owner,Diesel,Manual,14.24,2755.0,174.5,7.0,5
Jaguar XF 2.2 Litre Executive,24.0,Individual,60000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Audi A4 35 TDI Premium Plus,24.0,Dealer,30000,First Owner,Diesel,Automatic,18.25,1968.0,187.74,5.0,6
Mercedes-Benz M-Class ML 250 CDI,24.0,Individual,135000,First Owner,Diesel,Automatic,15.26,2143.0,203.2,5.0,8
Jaguar XF 2.2 Litre Luxury,24.0,Individual,52353,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Mahindra Alturas G4 4X4 AT BSIV,24.0,Individual,13000,First Owner,Diesel,Automatic,12.05,2157.0,178.49,7.0,4
Volvo V40 D3 R Design,24.0,Dealer,2100,First Owner,Diesel,Automatic,16.8,1969.0,150.0,5.0,4
Volvo XC 90 D5 AT AWD,24.0,Dealer,24000,First Owner,Diesel,Automatic,11.1,2400.0,200.0,7.0,8
Toyota Camry Hybrid 2.5,24.0,Dealer,34000,First Owner,Petrol,Automatic,19.16,2487.0,214.5,5.0,5
Audi Q3 35 TDI Quattro Premium Plus,24.0,Dealer,21000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,4
Jaguar XF 2.2 Litre Luxury,24.0,Dealer,50000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Volkswagen Tiguan 2.0 TDI Highline,24.0,Individual,80000,First Owner,Diesel,Automatic,16.65,1968.0,141.0,5.0,5
Land Rover Range Rover Evoque 2.2L Pure,24.0,Dealer,52000,First Owner,Diesel,Automatic,12.7,2179.0,187.7,5.0,8
Mercedes-Benz E-Class E250 CDI Avantgarde,24.0,Dealer,50000,First Owner,Diesel,Automatic,14.21,2143.0,203.0,5.0,7
Mercedes-Benz C-Class C 220 CDI Avantgarde,23.99,Dealer,38000,First Owner,Diesel,Automatic,19.27,2143.0,170.0,5.0,7
Mercedes-Benz C-Class 220 CDI AT,23.99,Dealer,37000,First Owner,Diesel,Automatic,14.84,2143.0,170.0,5.0,7
Mercedes-Benz C-Class C 220 CDI Avantgarde,23.99,Dealer,38000,First Owner,Diesel,Automatic,19.27,2143.0,170.0,5.0,7
BMW 5 Series 525d Sedan,23.95,Dealer,25500,First Owner,Diesel,Automatic,16.73,2993.0,218.0,5.0,9
Ford Endeavour 3.2 Titanium AT 4X4,23.95,Dealer,89000,First Owner,Diesel,Automatic,10.91,3198.0,197.0,7.0,6
Mercedes-Benz E-Class E250 CDI Blue Efficiency,23.95,Dealer,35000,First Owner,Diesel,Automatic,14.21,2143.0,203.0,5.0,8
Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,23.75,Dealer,40000,First Owner,Diesel,Automatic,12.07,2967.0,241.4,7.0,8
Skoda Octavia 1.8 TSI AT L K,23.75,Dealer,4000,First Owner,Petrol,Automatic,15.1,1798.0,178.0,5.0,3
Mercedes-Benz M-Class ML 250 CDI,23.75,Dealer,76000,First Owner,Diesel,Automatic,15.26,2143.0,203.2,5.0,9
BMW X3 xDrive20d,23.75,Dealer,37000,First Owner,Diesel,Automatic,16.09,1995.0,184.0,5.0,9
Audi Q3 2.0 TDI Quattro Premium Plus,23.75,Dealer,30000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,6
BMW X3 xDrive20d Advantage Edition,23.75,Dealer,39000,First Owner,Diesel,Automatic,16.09,1995.0,184.0,5.0,9
Skoda Superb LK 1.8 TSI AT,23.75,Dealer,8000,First Owner,Petrol,Automatic,14.67,1798.0,177.46,5.0,5
BMW 3 Series 320d Luxury Line,23.5,Dealer,15000,First Owner,Diesel,Automatic,18.88,1995.0,184.0,5.0,5
Mercedes-Benz E-Class E250 CDI Avantgarde,23.5,Dealer,32000,First Owner,Diesel,Automatic,13.0,2143.0,204.0,5.0,7
Toyota Fortuner 4X2 AT,23.5,Dealer,34000,First Owner,Petrol,Automatic,0.0,2694.0,163.05,7.0,6
Skoda Octavia 2.0 TDI AT L K,23.5,Dealer,52700,First Owner,Diesel,Automatic,19.5,1968.0,141.0,5.0,4
Jaguar XF 2.2 Litre Luxury,23.5,Dealer,34000,First Owner,Diesel,Automatic,16.36,2179.0,187.7,5.0,7
Toyota Camry Hybrid 2.5,23.5,Dealer,60000,First Owner,Petrol,Automatic,19.16,2487.0,214.5,5.0,7
Volkswagen Passat 2.0 TDI AT Highline,23.5,Dealer,31000,First Owner,Diesel,Automatic,17.42,1968.0,175.0,5.0,4
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,23.5,Individual,21265,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,4
Ford Endeavour 3.0L 4X2 AT,23.4,Dealer,67000,First Owner,Diesel,Automatic,11.4,2953.0,153.86,7.0,6
Mercedes-Benz CLA 200 CDI Sport,23.25,Individual,30000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,6
BMW 5 Series 520d Luxury Line,23.25,Dealer,43000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,8
Toyota Camry Hybrid 2.5,23.0,Individual,32000,First Owner,Petrol,Automatic,19.16,2487.0,214.5,5.0,6
BMW 3 Series GT 320d Luxury Line,23.0,Dealer,44000,First Owner,Diesel,Automatic,19.59,1995.0,184.0,5.0,7
BMW 3 Series 320d Sport,23.0,Dealer,13900,First Owner,Diesel,Automatic,22.69,1995.0,190.0,5.0,6
Land Rover Range Rover Evoque 2.2L Dynamic,23.0,Dealer,89000,First Owner,Diesel,Automatic,12.7,2179.0,187.7,5.0,10
BMW 3 Series 320d,23.0,Dealer,12000,First Owner,Diesel,Automatic,13.2,1995.0,170.0,5.0,6
Ford Endeavour 3.0L 4X4 AT,23.0,Dealer,132000,First Owner,Diesel,Automatic,11.4,2953.0,153.86,7.0,7
BMW 5 Series 520d Prestige,23.0,Dealer,97000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,6
BMW 5 Series 520d Luxury Line,23.0,Dealer,65000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,7
BMW 7 Series 730Ld DPE,23.0,Dealer,36000,First Owner,Diesel,Automatic,17.66,2993.0,261.49,4.0,10
Isuzu MUX 2WD,23.0,Dealer,34000,First Owner,Diesel,Automatic,13.8,2999.0,174.57,7.0,3
Mini Cooper S Carbon Edition,23.0,Dealer,30000,First Owner,Petrol,Automatic,13.6,1598.0,181.0,4.0,9
Mercedes-Benz S-Class S 500 L,22.75,Dealer,70000,First Owner,Petrol,Automatic,7.81,5461.0,362.9,5.0,11
BMW 3 Series 320d,22.75,Dealer,13500,First Owner,Diesel,Automatic,22.69,1995.0,190.0,5.0,6
Audi A6 35 TDI,22.75,Dealer,100000,First Owner,Diesel,Automatic,18.53,1968.0,187.74,5.0,7
Audi Q3 35 TDI Quattro Technology,22.75,Dealer,65000,First Owner,Diesel,Automatic,15.17,1968.0,181.0,5.0,5
Toyota Innova Crysta 2016-2020 2.8 AT Touring Sport BSIV,22.75,Dealer,11000,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,4
Land Rover Range Rover Evoque 2.2L Dynamic,22.75,Dealer,61000,First Owner,Diesel,Automatic,12.7,2179.0,187.7,5.0,10
Hyundai Santa Fe 4WD AT,22.5,Individual,15000,First Owner,Diesel,Automatic,13.01,2199.0,194.3,7.0,5
BMW X1 xDrive 20d M Sport,22.5,Dealer,50000,First Owner,Diesel,Automatic,20.68,1995.0,188.0,5.0,6
BMW 3 Series GT 320d Sport Line,22.5,Dealer,43000,First Owner,Diesel,Automatic,19.59,1995.0,184.0,5.0,6
Mercedes-Benz CLA 200 CDI Sport,22.5,Dealer,24000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,6
BMW 3 Series GT 320d Luxury Line,22.5,Dealer,38000,First Owner,Diesel,Automatic,19.59,1995.0,184.0,5.0,7
Mercedes-Benz CLA 200 CDI Style,22.5,Dealer,52800,First Owner,Diesel,Automatic,17.9,2143.0,134.1,5.0,6
Mercedes-Benz E-Class E250 CDI Avantgrade,22.5,Dealer,65000,First Owner,Diesel,Automatic,13.0,2143.0,201.1,5.0,9
Audi A6 2.0 TDI Premium Plus,22.5,Dealer,83000,First Owner,Diesel,Automatic,17.68,1968.0,174.33,5.0,9
Toyota Fortuner 4x2 AT,22.5,Dealer,40000,First Owner,Diesel,Automatic,12.55,2982.0,168.5,7.0,6
Audi Q5 3.0 TDI Quattro Technology,22.5,Dealer,66000,First Owner,Diesel,Automatic,13.22,2967.0,241.4,5.0,7
Audi Q5 30 TDI quattro Technology,22.5,Dealer,66000,First Owner,Diesel,Automatic,14.16,1968.0,174.3,5.0,7
Jaguar XF 3.0 Litre S Premium Luxury,22.5,Dealer,46000,First Owner,Diesel,Automatic,14.74,2993.0,270.9,5.0,8
Mercedes-Benz E-Class E250 CDI Launch Edition,22.5,Individual,65000,First Owner,Diesel,Automatic,13.0,2143.0,204.0,5.0,8
Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,22.5,Dealer,95000,First Owner,Diesel,Automatic,12.07,2967.0,241.4,7.0,8
Ford Endeavour 2.2 Trend AT 4X2,22.5,Dealer,38000,First Owner,Diesel,Automatic,12.62,2198.0,158.0,7.0,6
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,22.5,Dealer,30000,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,4
Audi Q5 3.0 TDI Quattro,22.5,Dealer,66000,First Owner,Diesel,Automatic,12.19,2967.0,236.0,5.0,7
BMW 3 Series 320d Sport Line,22.5,Individual,40000,First Owner,Diesel,Automatic,18.88,1995.0,184.0,5.0,8
BMW 3 Series 320d Sport Line,22.5,Dealer,88000,First Owner,Diesel,Automatic,18.88,1995.0,184.0,5.0,8
Jaguar XF 3.0 Litre S Premium Luxury,22.5,Dealer,110000,First Owner,Diesel,Automatic,14.74,2993.0,270.9,5.0,10
Mercedes-Benz C-Class C 200 AVANTGARDE,22.5,Dealer,35000,First Owner,Petrol,Automatic,14.74,1991.0,181.04,5.0,7
BMW 7 Series 730Ld,22.5,Dealer,63000,First Owner,Diesel,Automatic,14.49,2993.0,258.0,5.0,9
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,22.25,Dealer,25000,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,3
Mercedes-Benz SLK 350,22.25,Dealer,21000,First Owner,Petrol,Automatic,18.1,3498.0,306.0,2.0,16
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,22.25,Dealer,27000,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,3
Mercedes-Benz GLA Class 200 Sport,22.25,Dealer,20000,First Owner,Petrol,Automatic,13.7,1991.0,183.0,5.0,6
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,22.25,Dealer,80000,First Owner,Diesel,Automatic,11.36,2755.0,171.5,7.0,4
Mercedes-Benz CLA 200 CDI Sport,22.0,Individual,35000,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,6
Audi Q7 2006-2020 4.2 TDI quattro,22.0,Individual,155000,First Owner,Diesel,Automatic,11.33,4134.0,335.2,7.0,12
Audi Q3 35 TDI Quattro Premium,22.0,Individual,75000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,6
Audi A8 L 3.0 TDI quattro,22.0,Dealer,75000,First Owner,Diesel,Automatic,11.8,2967.0,246.7,5.0,10
BMW 5 Series 530d M Sport,22.0,Individual,120000,First Owner,Diesel,Automatic,14.69,2993.0,258.0,5.0,7
Audi Q3 2.0 TDI Quattro Premium Plus,22.0,Dealer,69000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,7
Audi Q3 35 TDI Quattro Premium Plus,22.0,Individual,54000,First Owner,Diesel,Automatic,15.17,1968.0,181.0,5.0,7
Audi A6 2.0 TDI Technology,22.0,Dealer,49000,First Owner,Diesel,Automatic,17.68,1968.0,174.33,5.0,8
Toyota Innova Crysta 2016-2020 2.4 ZX AT,22.0,Dealer,14000,First Owner,Diesel,Automatic,13.68,2393.0,147.51,7.0,5
Mercedes-Benz GLA Class 200 d Sport,22.0,Dealer,72710,First Owner,Diesel,Automatic,17.9,2143.0,136.0,5.0,6
Audi Q3 35 TDI Quattro Premium,22.0,Individual,90000,First Owner,Diesel,Automatic,15.73,1968.0,174.33,5.0,7
Ford Endeavour 3.2 Titanium AT 4X4,22.0,Individual,80000,First Owner,Diesel,Automatic,10.91,3198.0,197.0,7.0,6
Skoda Octavia 1.8 TSI AT L K,22.0,Dealer,3700,First Owner,Petrol,Automatic,15.1,1798.0,178.0,5.0,5
Mercedes-Benz M-Class ML 250 CDI,22.0,Individual,70000,First Owner,Diesel,Automatic,15.26,2143.0,203.2,5.0,8
Mercedes-Benz GLA Class 200 Sport,22.0,Dealer,20000,First Owner,Petrol,Automatic,13.7,1991.0,183.0,5.0,6
Toyota Fortuner 4x4 AT,22.0,Individual,110000,First Owner,Diesel,Automatic,12.55,2982.0,168.5,7.0,7
BMW X1 sDrive 20d xLine,22.0,Individual,30000,First Owner,Diesel,Automatic,20.68,1995.0,188.0,5.0,6
Audi A6 2.0 TDI,22.0,Dealer,46821,First Owner,Diesel,Automatic,17.68,1968.0,174.33,5.0,7
Volvo V40 Cross Country D3 Inscription,22.0,Individual,30000,First Owner,Diesel,Automatic,23.3,1969.0,150.0,5.0,5
Toyota Innova Crysta 2016-2020 2.4 ZX MT,22.0,Dealer,31000,First Owner,Diesel,Manual,13.68,2393.0,147.51,7.0,3
Audi A8 4.2 FSI quattro,22.0,Dealer,30000,First Owner,Petrol,Automatic,8.5,4163.0,349.5,5.0,12
Honda Civic ZX BSIV,22.0,Dealer,1923,First Owner,Petrol,Automatic,16.5,1799.0,139.46,5.0,3
Mercedes-Benz E-Class E350 CDI Avantgarde,22.0,Individual,140000,First Owner,Diesel,Automatic,11.5,2987.0,210.0,5.0,12
Ford Endeavour 2.2 Trend AT 4X2,21.95,Dealer,89000,First Owner,Diesel,Automatic,12.62,2198.0,158.0,7.0,6
Skoda Octavia 1.8 TSI AT L K,21.95,Dealer,29454,First Owner,Petrol,Automatic,15.1,1798.0,178.0,5.0,4
BMW X3 xDrive20d,21.95,Dealer,66000,First Owner,Diesel,Automatic,16.09,1995.0,184.0,5.0,8
Toyota Innova Crysta 2016-2020 2.4 ZX MT BSIV,21.9,Dealer,54287,First Owner,Diesel,Manual,13.68,2393.0,147.8,7.0,3
